"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\flareReplyHistoryScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\fullMapScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\likedClubPosts.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\likedPostScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\likedUserPosts.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\loginScreen.dart", "Dart", 0, -2, 0, 0, -2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\mediaScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\mentionsScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\myJoinedClubScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\noteScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\notificationSettingsScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\otherJoinedClubScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\placePostsScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\postCommentHistoryScreen.dart", "Dart", 0, 1, 0, 1, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\postCommentReplyHistoryScreen.dart", "Dart", 0, 1, 0, 1, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\postLikesNotifScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\replyLikesScreen.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\searchScreen.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\screens\settingsScreen.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\linkModeDialog.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\mosaic.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\registrationAuth.dart", "Dart", 0, 4, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\auth\registrationDialog.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\chatLocationWidget.dart", "Dart", 0, 7, 0, 0, 7
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\chatMessages.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\miniDescription.dart", "Dart", 0, 1, 0, -1, 0
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\chat\sendButton.dart", "Dart", 0, 6, 0, 0, 6
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\additionalAddressButton.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\clubObject.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\fullMapText.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\linkObject.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\settingsBar.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\common\title.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\addComment.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\addReply.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\fullPostCarousel.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\fullPost\likesView.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\home\speedFactor.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\misc\suggestedWidget.dart", "Dart", 0, 4, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\misc\userResult.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\places\placePosts.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\places\placeScreenMap.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\post\backsideMap.dart", "Dart", 0, 4, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\post\backsideTopics.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\post\descriptionPreview.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\post\noMediaDescription.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\post\postWidgetTitile.dart", "Dart", 0, -1, 0, 0, -1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\myLinked.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\myLinks.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\myProfileBanner.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\otherLinked.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\otherLinks.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\otherProfileBanner.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\profileBackAddress.dart", "Dart", 0, 4, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\profileBackside.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\profileBox.dart", "Dart", 0, 5, 0, -1, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\profileSensitiveBanner.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\profile\topicsTab.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\snackbar\visSnack.dart", "Dart", 0, 1, 0, 1, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\topics\addTopic.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\widgets\topics\topicPosts.dart", "Dart", 0, 1, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\pubspec.yaml", "YAML", 1, 0, 0, 0, 1
"Total", "-", 1, 216, 0, 5, 222
