"filename", "language", "YAML", "Dart", "Swift", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubJoinButton.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubJoinRequest.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubMemberScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubRequestsScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubScreen.dart", "Dart", 0, -9, 0, 0, 0, 0, 0, -9
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubSensitiveBanner.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubTabBar.dart", "Dart", 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubTabs.dart", "Dart", 0, -2, 0, 0, 0, 0, 0, -2
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\clubTopicsTab.dart", "Dart", 0, -9, 0, 0, 0, 0, 0, -9
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\createClubScreen.dart", "Dart", 0, 48, 0, 0, 0, 0, 1, 49
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\manageClubScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\newClubPost.dart", "Dart", 0, 11, 0, 0, 0, 0, -1, 10
"c:\Users\User\Desktop\receive\linkspeak\lib\clubs\privateClub.dart", "Dart", 0, -11, 0, 0, 0, 0, -1, -12
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\addFlareComment.dart", "Dart", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\addFlareReply.dart", "Dart", 0, -6, 0, 0, 0, 0, 1, -5
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\customizeFlareScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareAlertsScreen.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareBaseline.dart", "Dart", 0, 4, 0, 0, 0, 0, -1, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareComment.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareCommentAlerts.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareCommentLikesScreen.dart", "Dart", 0, -17, 0, 0, 0, 0, 0, -17
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareCommentRepliesScreen.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareComments.dart", "Dart", 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareHistory.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareHistoryScreen.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareLikeAlerts.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareProfileScreen.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareReply.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flareTabWidget.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 18
"c:\Users\User\Desktop\receive\linkspeak\lib\flares\flaresTab.dart", "Dart", 0, -12, 0, 0, 0, 0, 0, -12
