"filename", "language", "C++", "YAML", "Markdown", "JSON", "Dart", "CSS", "Swift", "XML", "HTML", "JavaScript", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\Assets.xcassets\BrandingImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 1, 0, 44
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\FLTGoogleMobileAdsPlugin.h", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 13
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\NativeAdView.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 149
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\User\Desktop\receive\linkspeak\ios\Runner\UnifiedNativeAdView.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 95
"c:\Users\User\Desktop\receive\linkspeak\ios\firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\User\Desktop\receive\linkspeak\lib\Locales\appLanguage.dart", "Dart", 0, 0, 0, 0, 1454, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 1605
"c:\Users\User\Desktop\receive\linkspeak\lib\Locales\ar_appLanguage.dart", "Dart", 0, 0, 0, 0, 1492, 0, 0, 0, 0, 0, 0, 0, 0, 0, 171, 1663
"c:\Users\User\Desktop\receive\linkspeak\lib\Locales\en_appLanguage.dart", "Dart", 0, 0, 0, 0, 1457, 0, 0, 0, 0, 0, 0, 0, 0, 0, 151, 1608
"c:\Users\User\Desktop\receive\linkspeak\lib\Locales\tr_appLanguage.dart", "Dart", 0, 0, 0, 0, 1569, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 1770
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\generalAdmin.dart", "Dart", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 55
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\adminFeeedbackScreen.dart", "Dart", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 135
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\allPostsScreen.dart", "Dart", 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 93
"c:\Users\User\Desktop\receive\linkspeak\lib\admin\screens\allUserClubsScreen.dart", "Dart", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 179
